name 	type 	id 	sp_cost	elem 	unk3 	unk4 	grade 	skill_type 	nb_target 	unk8 	delay 	state 	unk11 	unk12 	sk_point 	unk14 	max_lvl 	require_sk 	unk17 	unk18 	unk19 	unk20 	unk21 	unk22 	desc
Hoạch lí phản	5	14020	30	5	7367083	0	4	15	2	1	20	174	1	0	0	1	5	14012	0	0	0	0	0	0	Khiến quân địch mất ý trí
Hỗn loạn	5	14021	25	5	7367083	0	4	15	1	1	20	173	1	0	0	1	5	0	0	0	0	1	3	0	Gây hổn lọan cho quân địch
Giải hỗn loạn	5	14022	10	5	7367083	0	4	5	1	0	32	0	1	0	0	1	1	0	0	0	0	0	0	0	Phá bỏ tình trạng hổn loạn 
Cưỡi ngựa	5	14023	0	5	7367083	0	4	0	1	0	20	0	1	0	0	1	1	0	0	0	0	0	0	0	Kỹ năng cưỡi ngựa
Linh quang ẩn hiện	5	14024	20	5	7367083	0	1	0	1	0	12	0	1	1	0	1	1	0	0	0	0	0	0	0	Có thể thực hiện các kỹ năng
Chiếm đọat	5	14025	0	5	7367083	0	1	0	1	0	12	0	1	1	0	1	1	0	0	0	0	0	3	0	Có thể lấy itemx2 từ phía địch
Triệu gọi	5	14026	0	5	7367083	0	4	0	1	0	20	0	1	1	0	1	1	0	0	0	0	0	0	0	Học được năng lực gọi thần thú
Ðạo sư	5	14027	0	5	7367083	0	1	0	1	0	12	0	1	1	0	1	1	0	0	0	0	0	0	0	Khi giúp người mới,exp sẽ tăng
Ðoàn kết	5	14028	0	5	7367083	0	1	0	1	0	12	0	1	1	0	1	1	0	0	0	0	0	0	0	Khi chung sức,exp sẽ tăng
Cát Phổ Trại bắn đạn	5	14029	60	5	7367083	0	1	15	1	0	30	176	1	1	0	1	10	0	0	0	0	0	3	0	Giảm nhanh nhạy của kẻ địch
Cát Phổ Trại áp đỉnh	5	14030	80	5	7367083	0	8	2	1	0	33	0	1	1	0	1	10	0	0	0	0	0	3	0	Lấy tuyệt kỹ Các Phổ sái
Tiếp chiêu	5	14031	0	5	7367083	0	1	0	1	0	20	0	1	1	0	1	1	0	0	0	0	0	0	0	Hóa giải tất cả kỹ năng
Tinh luyện	5	14032	0	5	7367083	0	5	0	1	0	20	0	1	0	0	1	10	14019	0	0	0	1	0	0	Kỹ năng tổng hợp cấp 4
Xạ Tiễn	5	14033	30	5	7367083	0	1	2	1	0	29	7	1	1	0	1	5	14037	1	0	0	1	1	0	Dùng cung tên hạ địch
Kỵ Binh	5	14034	0	5	7367083	0	8	0	1	0	20	0	1	0	0	1	1	0	0	0	0	1	1	0	Có thể cưỡi các loài động vật.
Chuyển Thể	5	14035	0	5	7367083	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	Thừa kế thiên mệnh chuyển sinh
Bách Xuyên	5	14036	24	5	7367083	0	1	1	1	0	29	7	1	1	0	1	5	0	1	0	0	1	1	0	Xạ trường cung công kích địch
Tiễn Vũ 	5	14037	30	5	7367083	0	7	2	6	0	39	7	1	1	0	1	5	14036	2	0	0	1	1	0	Xạ tiễn ngập trời khó mà thoát
Ðại chu thiên	5	14038	0	5	7367083	0	1	0	0	0	30	0	0	0	1	1	10	0	0	0	0	3	0	0	Luyện khí thúc đẩy tiên mạch
Bá khí	5	14039	0	5	7367083	0	1	0	0	0	30	0	0	0	1	1	10	14038	0	0	0	3	0	0	Lấy khí bá đạo nâng cao uy lực
Bá ý	5	14040	46	5	7367083	0	1	19	0	0	27	54	0	0	1	1	5	14038	0	0	0	3	1	0	Ðòn chí mạng của Tiểu Bá Vương
Lực bạt sơn hề	5	14041	0	5	7367083	0	1	0	0	0	30	0	0	0	1	1	10	14038	0	0	0	3	0	0	Khích lệ sức mạnh đồng đội
Sóng cuồng	5	14042	54	5	7367083	0	8	1	3	0	19	7	1	0	1	1	5	14038	1	0	0	3	1	0	Thế cuồng nộ của sóng
Anh khí hộ thân	5	14043	0	5	7367083	0	1	0	0	0	30	0	0	0	1	1	10	14038	0	0	0	3	0	0	Chống mọi sự tập kích
ThiênThần thuẫn	5	14044	46	5	7367083	0	0	19	1	0	30	56	1	0	1	1	5	14038	0	0	0	3	1	0	Vứt bỏ tâm để bảo vệ đồng đội
Tâm nhãn	5	14045	0	5	7367083	0	1	0	1	0	30	0	1	1	1	1	10	14038	0	0	0	3	0	0	Dùng tâm nhãn nhìn thấu tâm tư
NgưngKhí HộThân	5	14046	46	5	7367083	0	1	19	0	0	12	57	0	0	1	1	5	14038	0	0	0	3	1	0	Chống lại công kích của địch
Dùng kế	5	14047	0	5	7367083	0	1	0	0	0	30	0	0	0	1	1	10	14038	0	0	0	3	0	0	Xuất chiêu vào đúng thời điểm
Trí thủ	5	14048	0	5	7367083	0	1	0	0	0	30	0	0	0	1	1	10	14038	0	0	0	3	0	0	Chỉ ra những điểm yếu của địch
Chống địch	5	14049	0	5	7367083	0	1	0	0	0	30	0	0	0	1	1	10	14038	0	0	0	3	0	0	Giảm tổn thương cho đồng đội
Sách động	5	14050	0	5	7367083	0	1	0	0	0	30	0	0	0	1	1	10	14038	0	0	0	3	0	0	Gia tăng uy lực của đồng đội
Tiên khiếu	5	14051	0	5	7367083	0	1	0	0	0	30	0	0	0	1	1	10	14038	0	0	0	3	0	0	Ðả thông kinh mạch
HóaHuyếtHòanHồn	5	14052	0	5	7367083	0	1	0	0	0	30	0	0	0	1	1	5	14038	0	0	0	3	0	0	Hấp thụ công kích của địch
ThánhLinh thuật	5	14053	52	5	7367083	0	1	19	1	1	30	55	0	0	1	1	5	14038	0	0	0	3	1	0	Dùng lực thánh linh công kích
CànKhônThiênLôi	5	14054	84	5	7367083	0	1	2	0	0	45	0	0	0	1	1	5	14038	0	0	0	3	1	0	Sự trừng phạt của Thiên Lôi
Tổn huyết	5	14055	0	0	7367083	1	1	0	20	0	30	0	0	0	0	0	0	0	0	0	0	3	0	0	Mất máu
Tiên khí hộ thân	5	14056	0	0	7367083	0	0	5	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	N/A
Vật lý giảm nữa	5	14057	0	5	7367083	0	1	0	0	0	30	0	0	0	1	1	10	0	0	0	0	3	0	0	Tổn thương vật lý giảm nữa
Thiết bố sam	5	14058	0	5	7367083	0	1	0	1	0	30	0	1	1	1	1	10	0	0	2	0	3	3	0	HP thấp tăng né tránh
Ðằng thuật giáp	5	14059	0	5	7367083	0	1	0	1	0	30	0	1	1	1	1	10	0	0	2	0	3	3	0	HP thấp tăng dmg
Toàn thể Thiên Lôi	5	14060	84	5	7367083	0	1	2	8	0	45	0	0	0	1	1	5	0	0	0	0	3	3	0	Thiên Lôi trách phạt
Thiên Lôi Thần Thuẫn	5	14061	0	5	7367083	0	1	0	0	0	30	0	0	0	1	1	10	0	0	0	0	3	3	0	Tránh né kỹ năng Thiên Lôi
Bắt cóc	6	15001	0	0	7367083	0	4	11	1	0	30	0	1	0	0	1	10	0	0	0	0	0	1	0	N/A
Thả lưới	6	15002	0	0	7367083	0	4	11	1	0	30	0	1	0	0	1	10	0	0	0	0	0	1	0	N/A
Thả lưới thành công	6	15003	0	0	7367083	0	4	11	1	0	30	0	1	0	0	1	10	0	0	0	0	0	0	0	N/A
Phãn đoàn bộ võng	7	15004	0	0	7367083	0	4	11	1	0	30	0	1	0	0	1	10	0	0	0	0	0	0	0	N/A
Thành công phãn đoàn	7	15005	0	0	7367083	0	4	11	1	0	30	0	1	0	0	1	10	0	0	0	0	0	0	0	N/A
Lầu tên	7	16001	0	0	7367083	0	10	1	1	0	15	0	1	0	0	1	10	0	2	0	0	0	0	0	N/A
Thành Môn 	7	16002	0	0	7367083	0	16	1	8	0	15	7	1	0	0	1	10	0	3	0	0	0	0	0	N/A
Phòng ngự	8	17001	0	0	7367083	0	1	10	1	0	1	0	1	0	0	1	10	0	0	0	0	0	1	0	Giảm công kích của đối phương
Chạy trốn	9	18001	0	0	7367083	0	1	12	1	0	15	0	1	0	0	1	10	0	0	0	0	0	1	0	Thoát ra chiến trường
Chạy trốn thất bại	9	18002	0	0	7367083	0	1	12	1	0	15	0	1	0	0	1	10	0	0	0	0	0	0	0	Thoát ra chiến trường thất bại
Vật phẩm	10	19001	0	0	7367083	0	0	13	1	0	24	0	1	0	0	0	0	0	0	0	0	0	1	0	Sử dụng vật thể
Cây tinh hút máu	11	20001	0	0	7367083	0	0	1	1	0	26	0	1	0	0	0	0	0	0	0	0	0	0	0	Cây tinh hút máu
Trúng độc mất máu	11	20002	0	0	7367083	0	0	1	1	0	20	0	1	0	0	0	0	0	0	0	0	0	0	0	Trúng độc hiến máu
Thương hại phản đàn	11	20003	0	0	7367083	0	0	1	1	0	20	0	1	0	0	0	0	0	0	0	0	0	0	0	Thương hại phản đàn
Thần xui xẻo	12	20004	0	0	7367083	0	0	1	1	0	30	240	1	0	0	0	0	0	0	0	0	0	0	0	Thần xui phò mình
Phúc thần	12	20005	0	0	7367083	0	0	1	1	0	30	170	1	0	0	0	0	0	0	0	0	0	0	0	Phúc thần phò mình
Hộ chủ	5	20006	0	5	7367083	0	0	17	1	0	10	241	1	0	0	1	1	0	0	0	0	0	3	0	Thay thế chủ nhân đỡ công kích
Giải hộ chủ	13	20007	0	0	7367083	0	0	17	1	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	N/A
Bùa chú	14	20008	0	0	7367083	0	0	17	1	0	10	0	1	0	0	0	0	0	0	0	0	0	1	0	N/A
Xe xung phong	7	20009	0	0	7367083	0	1	1	1	0	20	0	1	0	0	1	10	0	1	0	0	0	0	0	N/A
Xe dao	7	20010	0	0	7367083	0	1	1	1	0	12	0	1	0	0	1	10	0	1	0	0	0	0	0	N/A
Xe nỏ	7	20011	0	0	7367083	0	2	1	3	0	10	0	1	0	0	1	10	0	3	0	0	0	0	0	N/A
Xe ném đá	7	20012	0	0	7367083	0	2	1	3	0	10	0	1	0	0	1	10	0	3	0	0	0	0	0	N/A
Giếng/tháp tên	7	20013	0	0	7367083	0	3	1	1	0	8	0	1	0	0	1	10	0	3	0	0	0	0	0	N/A
Tứ nhân hỗn lọan	15	20014	50	0	7367083	0	8	15	5	3	20	173	1	0	0	1	10	0	0	0	0	0	0	0	Hỗn loạn 4người của đối phương
Tứ nhân trạng giải	15	20015	60	0	7367083	0	8	18	5	0	20	0	1	0	0	1	10	0	0	0	0	0	0	0	Trạng giải 4người của mình
Long đầu	15	20016	60	0	7367083	0	8	1	3	3	18	5	1	0	0	1	10	0	1	0	0	0	0	0	Kỹ thuật đấu vật 
Hữu long trảo	15	20017	60	0	7367083	0	8	1	6	0	24	0	1	0	0	1	10	0	1	0	0	0	0	0	Kỹ thuật đấu vật 
Tả long trảo	15	20018	60	0	7367083	0	8	2	6	0	22	0	1	0	0	1	10	0	0	0	0	0	0	0	Kỹ thuật đấu vật 
Giải thoát	15	20019	60	0	7367083	0	8	18	6	0	20	0	1	0	0	1	10	0	0	0	0	0	0	0	Giải thoát 6 người phe ta.
Tam sát	15	20020	60	0	7367083	0	16	1	3	2	18	5	1	0	0	1	10	0	1	0	0	0	0	0	Ðánh gục 3 người
Loạn Nha	15	20021	60	0	7367083	0	20	2	8	0	27	0	1	0	0	1	10	0	2	0	0	0	0	0	Toàn thể địa nha
Quy Thúc	15	20022	60	0	7367083	0	8	15	8	0	52	175	1	0	0	1	10	0	0	0	0	0	0	0	Nham Quái Kỹ sử dụng toàn thân
Tứ độc thủ	15	20023	60	0	7367083	0	8	15	5	4	20	171	1	0	0	1	10	0	0	0	0	0	0	0	Hạ độc 4 người bên địch
Thập Khí	15	20024	60	0	7367083	0	8	4	8	3	17	106	1	0	0	1	10	0	0	0	0	0	0	0	Nguyên khí của 10 người
Cây tinh 3	15	20025	36	1	7367083	0	8	3	3	3	26	3	1	0	0	1	10	0	0	0	0	0	0	0	Tam nhân thụ tinh
Băng Phong 	15	20026	80	2	7367083	0	8	3	3	3	27	1	1	0	0	1	10	0	0	0	0	0	0	0	Tam nhân băng phong
Hoàn Phong 	15	20027	30	4	7367083	0	8	3	3	4	17	2	1	0	0	1	10	0	0	0	0	0	0	0	Tam nhân hoàn phong
Bạo Phong 	15	20028	60	4	7367083	0	10	2	3	0	22	0	1	0	0	1	10	0	0	0	0	0	0	0	Tam nhân bạo phong
Bạch Hổ Pháo	15	20029	80	2	7367083	0	30	2	8	0	55	0	1	0	0	1	10	0	0	0	0	0	3	0	Chùm tia sáng của Bạch Hổ
Bạch Hổ đầu	15	20030	60	0	7367083	0	16	1	3	0	18	0	1	0	0	1	10	0	1	0	0	0	3	0	Ðầu của Bạch hổ
Tả Bạch Hổ trảo	15	20031	60	0	7367083	0	14	1	6	0	24	0	1	0	0	1	10	0	1	0	0	0	3	0	Móng trái của Bạch Hổ
HữuBạch Hổ trảo	15	20032	60	0	7367083	0	14	2	6	0	22	0	1	0	0	1	10	0	0	0	0	0	3	0	Móng phải của Bạch Hổ
Kiếm tuyệt vọng	15	20033	80	5	7367083	0	120	1	2	5	13	7	1	0	0	1	10	0	3	0	0	0	3	0	Có sức mạnh hủy diệt
Xe đầu trâu	7	20034	0	0	7367083	0	10	1	1	0	18	0	1	0	0	1	10	0	1	0	0	0	0	0	Va chạm đơn thể
Xeđao tinhluyện gang	7	20035	0	0	7367083	0	10	1	1	0	9	0	1	0	0	1	10	0	1	0	0	0	0	0	Va chạm đơn thể
Xe Vận Cung	7	20036	0	0	7367083	0	12	1	6	0	24	0	1	0	0	1	10	0	3	0	0	0	0	0	Công kich 2 lần vào 6 người
Xe lớn chở đá	7	20037	0	0	7367083	0	12	1	5	0	24	0	1	0	0	1	10	0	3	0	0	0	0	0	Hoả cầu công kích 6 người
Giếng Cường Cung	7	20038	0	0	7367083	0	13	1	7	0	21	0	1	0	0	1	10	0	3	0	0	0	0	0	Hoả tiễn 5 người
Tháp Thần Tiễn	7	20039	0	0	7367083	0	13	1	8	0	23	0	1	0	0	1	10	0	3	0	0	0	0	0	Tên bắn 10 người
Tường Ðinh	7	20040	0	0	7367083	0	30	1	8	0	54	0	1	0	0	1	10	0	1	0	0	0	0	0	Cạm bẫy 10 người
Cung tên trúc	7	20041	0	0	7367083	0	30	1	8	0	22	0	1	0	0	1	10	0	1	0	0	0	0	0	Cạm bẫy 10 người
Thuốc nổ	7	20042	0	0	7367083	0	30	1	8	0	53	0	1	0	0	1	10	0	1	0	0	0	0	0	Cạm bẫy 10 người
Ðá lớn	7	20043	0	0	7367083	0	30	1	8	0	17	0	1	0	0	1	10	0	1	0	0	0	0	0	Cạm bẫy 10 người
Phá hủy 	7	20044	0	0	7367083	0	10	1	1	0	23	0	1	0	0	1	10	0	1	0	0	0	0	0	Kỹ năng đơn thể
Thần nộ thiên tru	7	20045	0	0	7367083	0	10	1	8	0	44	0	1	0	0	1	10	0	0	0	0	0	0	0	Chủ guild sai thiên khuyển TC
Ðuổi địch	7	20046	0	0	7367083	0	10	12	1	0	0	0	1	0	0	1	10	0	0	0	0	0	0	0	Khiến tướng địch cất pet
Cường hiệu thi độc	17	20047	60	5	7367083	0	8	15	5	3	20	171	1	0	0	1	5	0	0	0	0	0	3	0	Bỏ độc 4 người
Siêu cấp toàn phong	17	20048	30	4	7367083	0	8	3	3	3	17	2	1	0	0	1	5	0	0	0	0	0	3	0	Gió lốc 3 người
Siêu cấp thụ tinh	17	20049	36	1	7367083	0	8	3	3	3	26	3	1	0	0	1	5	0	0	0	0	0	3	0	Thụ tinh 3 người
Cường hiệu giải trừ	17	20050	60	2	7367083	0	8	18	5	0	20	0	1	0	0	1	5	0	0	0	0	0	3	0	Giải trừ 4 người
Cửu vỉ hồ mi hoặc	17	20051	50	5	7367083	0	8	15	5	3	20	173	1	0	0	1	10	0	0	2	0	3	3	0	Tuyệt kỹ Ðiêu Thuyền
Chấn địa chùy	16	21001	54	1	7367083	0	7	1	1	1	29	175	1	0	0	1	1	0	2	0	0	0	3	0	Vung Chấn địa chùy đánh địch
Hàn băng quán	16	21002	44	2	7367083	0	10	2	5	0	37	0	1	0	0	1	1	0	2	0	0	0	3	0	Hàn băng xuyên qua cơ thể địch
Hồng liên hỏa	16	21003	54	3	7367083	0	12	2	1	0	34	0	1	0	0	1	1	0	2	0	0	0	3	0	Hồng Liên Hỏa đốt sạch tội lỗi
Phá không thiểm	16	21004	48	4	7367083	0	13	1	1	0	21	0	1	0	0	1	1	0	1	0	0	0	3	0	Chớp lóe phá thiên
Mãnh ngưu kích	16	21005	48	1	7367083	0	12	1	1	0	22	0	1	0	0	1	1	0	1	0	0	0	3	0	Thế mãnh ngưu tập kích kẻ thù
Băng nha nhẫn	16	21006	36	2	7367083	0	5	1	3	0	25	0	1	0	0	1	1	0	2	0	0	0	3	0	Tạo thành 3 thanh kiếm băng
Chính diệm nộ	16	21007	48	3	7367083	0	12	1	1	0	46	0	1	0	0	1	1	0	1	0	0	0	3	0	Liên hoa loạn kích
Gió độc	16	21008	30	4	7367083	0	10	15	1	3	20	171	1	0	0	1	1	0	2	0	0	0	3	0	Chất độc của ma quỷ
Vẫn tinh lạc	16	21009	48	1	7367083	0	11	1	5	0	30	0	1	0	0	1	1	0	2	0	0	0	3	0	Kêu gọi vẫn tinh đánh địch
Trùng quyền	16	21010	48	2	7367083	0	14	1	1	0	25	0	1	1	0	1	1	0	1	0	0	0	3	0	Trùng quyền thấu cả thịt xương
Hỏa phụng thiên	16	21011	72	3	7367083	0	11	2	8	0	30	0	1	1	0	1	1	0	0	0	0	0	3	0	Ðổi mạng gọi hỏa phụng đến
Hồi mã thương	16	21012	52	4	7367083	0	14	1	1	0	25	0	1	1	0	1	1	0	1	0	0	0	3	0	Tuyệt chiêu hồi mã thương
Sư Phệ	16	21013	64	1	7367083	0	14	1	1	0	35	0	1	1	0	1	1	0	1	0	0	0	3	0	Sư tử thánh linh kích địch thủ
Liềm Trảm	16	21014	72	3	7367083	0	12	1	1	2	35	179	1	1	0	1	1	0	1	0	0	0	3	0	Dùng lưỡi liềm sát hại địch
Nhị Ðoạn Thức	16	21015	56	2	7367083	0	16	1	1	0	30	0	1	1	0	1	1	0	1	0	0	0	3	0	Sét đánh như vũ bão kích địch
Ðộng Ngân 	16	21016	72	4	7367083	0	16	2	7	0	30	0	1	1	0	1	1	0	2	0	0	0	3	0	Thuận gió càn trận địa địch
Thâm Uyên	16	21017	65	1	7367083	0	16	1	1	0	25	0	1	1	0	1	1	0	1	0	0	0	3	0	Rơi vào vực sâu đao kiếm
Nhẫn Trảm	16	21018	75	3	7367083	0	16	1	1	0	25	0	1	1	0	1	1	0	1	0	0	0	3	0	Dùng Nhẫn Trảm chém giết địch
Tiễn thần Ðịnh quân	16	21019	72	4	7367083	0	16	2	2	0	30	0	1	1	0	1	1	0	3	0	0	0	3	0	Những mũi tên bắn địch như lo
Thiên tru thái bình 	16	21020	80	1	7367083	0	16	2	3	0	17	0	1	1	0	1	1	0	2	0	0	0	3	0	Niêm những câu thần chú khiến
Ðịadiệtkinhđàotrận	16	21021	80	2	7367083	0	15	2	6	0	19	0	1	1	0	1	1	0	2	0	0	0	3	0	Niệm thần chú thiên thuỷ khiến
Nhân vong tống táng 	16	21022	80	3	7367083	0	15	2	2	0	37	0	1	1	0	1	1	0	2	0	0	0	3	0	Niệm thần chú gọi lửa trời thi
Thương thiên đã chết	16	21023	80	0	7367083	0	30	1	8	0	83	0	1	1	0	1	1	0	2	0	0	0	0	0	N/A
Thácđaophápáonghĩa	16	21024	77	4	7367083	0	17	1	1	0	45	0	1	1	0	1	1	0	1	0	0	0	3	0	Tiêu diệt địch bằng Thanh hồng
Cuồng xà đoạt thủ	16	21025	77	3	7367083	0	17	1	2	0	45	0	1	1	0	1	1	0	1	0	0	0	3	0	Trương bát vừa xuất, lấy thủ c
Nhân giả vô địch	16	21026	77	1	7367083	0	17	19	3	3	45	58	1	1	0	1	1	0	0	0	0	0	3	0	Nhân giả... chính khí quá mạnh
Kết nghĩa vườn đào	16	21027	77	0	7367083	0	40	1	8	0	90	0	1	1	0	1	1	0	3	0	0	0	0	0	N/A
Nhân giả vô địch	16	21028	77	1	7367083	0	17	15	3	3	45	175	1	1	0	1	1	0	0	0	0	0	0	0	N/A
Lạc Thuỷ kết tụ	16	21029	82	2	7367083	0	18	2	6	0	34	0	1	1	0	1	1	0	2	0	0	0	3	0	Nước hồ Lạc vì kiếm mà cô đọng
Nham diệp phiêu kiếm	16	21030	82	1	7367083	0	18	2	6	0	34	0	1	1	0	1	1	0	2	0	0	0	3	0	Thánh linh hóa nham trừ ma đạo
Quang mâu thuật	18	22001	15	0	7367083	0	8	1	3	0	15	0	1	1	4	1	10	0	2	2	0	3	3	0	ầHầúấậầÙờẺệ`3ẩìỬẢấH
Phật quang chưởng	18	22002	52	0	7367083	0	7	1	1	0	33	0	1	1	5	1	5	0	1	2	0	3	3	0	ẩòầúỪEờồẹóƠxấấ, ậ@ầXổjốPậđÀỪ
Huyễn quang	18	22003	72	0	7367083	0	13	1	4	0	28	0	1	1	8	1	10	0	1	2	0	3	3	0	ộoầXẽẻỗƠốtầú, ậđÀỪấTẩìỬẢấH
Liệt diệm chi quang	18	22004	30	0	7367083	0	7	2	5	0	39	7	1	1	0	1	5	0	2	2	0	3	3	0	ẽẻỬỏếỨấõầúậđÀỪỬẢấHẽÃỠÂởôầLễÌ
Quang du thuật	18	22005	15	0	7367083	0	6	5	3	0	29	0	1	1	12	1	1	0	0	2	0	3	3	0	ịứồặấTẩìờấấÍẩUỨửồIệzếểỨA
Quang chi kính	18	22006	46	0	7367083	0	0	19	3	1	30	56	1	0	1	1	5	0	0	2	0	3	3	0	ểIẹựầúấậÃèắAểồ3ẩìờấấÍẹèớừờẺệ`
Quang tuyền quán chú	18	22007	72	0	7367083	0	2	14	1	0	33	0	1	1	15	1	10	0	0	2	0	3	3	0	ầúểuấậấOẢéế`ẽễĂé, ẩPệÉềìƠ_ẽễấư
Hồi quang phản chiếu	18	22008	40	0	7367083	0	1	0	1	0	30	0	1	1	1	1	1	0	0	2	0	3	3	0	ẽủễPẩỨấ@ÀỪềá, ẩỹồÊƠ_ểắấ@ẩị
Quang tốc đầu trịch	18	22009	104	0	7367083	0	6	2	5	0	27	0	1	1	7	1	5	0	1	2	0	3	3	0	ầHầúỠtậẻÂYÀợờắểIệiậđÀỪ
Kim tê công kích	18	22010	24	0	7367083	0	3	1	1	0	25	0	1	1	7	1	10	0	2	2	0	3	3	0	ậẻÂYếọỰôậđÀỪỰỉấè
Bạch Hổ	18	22011	120	0	7367083	0	1	2	3	0	52	0	1	245	0	1	10	0	0	2	0	3	3	0	ầlỠêầạếêậđÀỪ
Gọi tiểu Bạch Hổ	18	22012	120	0	7367083	0	2	2	5	0	51	0	1	0	0	1	1	0	0	2	0	3	3	0	N/A
Gọi trung Bạch Hổ	18	22013	120	0	7367083	0	2	2	6	0	51	0	1	0	0	1	1	0	0	2	0	3	3	0	N/A
Gọi đại Bạch Hổ	18	22014	120	0	7367083	0	3	2	8	0	50	0	1	0	0	1	1	0	0	2	0	3	3	0	N/A
Tập thức quang đạn	18	22015	84	0	7367083	0	9	2	8	0	27	0	1	1	14	1	10	0	0	2	0	3	3	0	ộoệgờồậôầúỬuậđÀỪỬẢấè
Ðồng quang chi ban	18	22016	52	0	7367083	0	7	1	1	0	33	1	1	1	5	1	5	0	1	2	0	3	3	0	ểIẹựẢặầửấậầúờẺệ`ẩPệÉệỰịjỬẢấè
C.Ð quang chi ban	18	22017	52	0	7367083	0	10	1	1	0	33	1	1	1	5	1	5	0	1	2	0	3	3	0	ểIẹựẢặầửấậầúờẺệ`ẩPệÉệỰịjỬẢấè
C.L diệm chi quang	18	22018	30	0	7367083	0	9	2	5	0	39	7	1	1	0	1	5	0	2	2	0	3	3	0	ẽẻỬỏếỨấõầúậđÀỪỬẢấHẽÃỠÂởôầLễÌ
Chân huyễn quang	18	22019	72	0	7367083	0	15	1	4	0	28	0	1	1	8	1	10	0	1	2	0	3	3	0	ộoầXẽẻỗƠốtầú, ậđÀỪấTẩìỬẢấH
C.Phật quang chưởng	18	22020	52	0	7367083	0	9	1	1	0	33	0	1	1	5	1	5	0	1	2	0	3	3	0	ẩòầúỪEờồẹóƠxấấ, ậ@ầXổjốPậđÀỪ
Siêu quang ba	18	22021	52	0	7367083	0	19	1	2	2	30	179	1	1	10	1	10	0	1	2	0	3	3	0	ếựờZÂọẽỳầXờWổjầúếi
Quyền khuynh vạn lý	18	22022	30	0	7367083	0	12	2	6	0	39	7	1	1	0	1	5	0	2	0	0	3	3	0	ẽỳễpĂýỬẢồÊỬuấặổo
Ám độc tiễn	19	23001	15	0	7367083	0	8	1	3	0	15	0	1	1	4	1	10	0	2	2	0	3	3	0	ếợởtốàẹóấ}ơbấậấWậđÀỪầửỬÐ
Ám đao trảm	19	23002	66	0	7367083	0	7	1	1	0	20	0	1	1	18	1	10	0	1	2	0	3	3	0	ỰỉỬẢấèấ@ấHẽỳầXĩĩờÂấOờqếỨổÙÀỪ
Hắc toàn trảm	19	23003	72	0	7367083	0	13	1	4	0	26	0	1	1	16	1	10	0	1	2	0	3	3	0	ẽỳầXờÂổỹổÙậđÀỪấTẩìỬẢấH
Vu độc	19	23004	30	0	7367083	0	10	2	2	0	20	0	1	0	0	1	5	0	2	2	0	3	3	0	ẹựầXậĂểrĩĩỠNờẺệ`ỬẢấHẽÃởlốÓSP
Tụ ẩn kiếm	19	23005	30	0	7367083	0	2	2	1	0	29	7	1	1	0	1	1	0	1	2	0	3	3	0	ểớởâếỨỠSịÌỬCÀuầýầXấâờẺệ`ỬẢấH
Khô lâu đầu trịch	19	23006	52	0	7367083	0	6	2	5	3	27	171	1	1	7	1	5	0	1	2	0	3	3	0	ậẻÂYớuĂ\, ậđÀỪầ|ẩìỬẢấH
Vu độc oa oa	19	23007	50	0	7367083	0	4	15	1	2	20	173	1	0	0	1	1	0	0	2	0	3	3	0	ầĨậĂểrềơềơổổẽĩỬẢấèấ@ấHấểểỹƠÝổợ
Yêu thuật kích hoả	19	23008	69	0	7367083	0	1	19	5	1	27	54	0	0	1	1	5	0	0	2	0	3	3	0	ậốỠNƯEấẳờấấÍ, ầXấâẹỹẹỹễPẹR
Mê hoặc độc trâm	19	23009	30	0	7367083	0	7	2	3	0	39	173	1	1	0	1	5	0	2	2	0	3	3	0	ầHồgƠbểrồwậđÀỪỬẢấHẽÃỗVờÃầLễÌ
Ðộc phi luân	19	23010	56	0	7367083	0	11	1	1	0	30	0	1	1	9	1	10	0	2	2	0	3	3	0	ổNờĩấWỬ@ểrếỨễịơủÂYẩVỰỉấè
Huyền Vũ	19	23011	120	0	7367083	0	1	15	3	3	53	171	1	245	0	1	10	0	0	2	0	3	3	0	ầlỠêầÈếZậđÀỪ
Gọi tiểu Huyền Vũ	19	23012	120	0	7367083	0	2	2	5	0	54	0	1	0	0	1	1	0	0	2	0	3	3	0	N/A
Gọi trung Huyền Vũ	19	23013	120	0	7367083	0	2	2	6	0	54	0	1	0	0	1	1	0	0	2	0	3	3	0	N/A
Gọi đại Huyền Vũ	19	23014	120	0	7367083	0	3	2	8	0	54	0	1	0	0	1	1	0	0	2	0	3	3	0	N/A
Vựng trảm	19	23015	56	0	7367083	0	14	1	1	2	30	5	1	1	9	1	10	0	1	2	0	3	3	0	ểớờBếỨậđÀỪếổệaếợổaớọỗvầƠởw
Hắc ám liên trảm	19	23016	84	0	7367083	0	26	1	1	0	35	0	1	1	16	1	10	0	1	2	0	3	3	0	ẩVỬẢấHẽỳầXÀợờắĩĩờÂỠsổÙ
C.Ám độc tiễn	19	23017	15	0	7367083	0	9	1	3	0	15	0	1	1	4	1	10	0	2	2	0	3	3	0	ếợởtốàẹóấ}ơbấậấWậđÀỪầửỬÐ
